chr	gene	NAGn	SRIn	Y_Zn
chr8	LYNX1	2	2	2
chr2	LYPD1	6	6	6
chr8	LYPD2	2	2	2
chr19	LYPD3	2	2	2
chr19	LYPD4	3	3	3
chr2	LYPD6	18	18	18
chr8	LYPLA1	10	10	10
chr1	LYPLA2	2	2	2
chr1	LYPLAL1	8	8	8
chr6	LYRM4	42	42	42
chr12	LYRM5	7	7	7
chr5	LYRM7	10	10	10
chr15	LYSMD2	3	3	3
chr5	LYSMD3	3	3	3
chr1	LYST	45	45	45
chr11	LYVE1	3	3	3
chr12	LYZ	3	3	3
chr10	LYZL1	7	7	7
chr10	LYZL2	4	4	4
chr3	LYZL4	5	5	5
chr17	LYZL6	2	2	2
chr1	LZIC	3	3	3
chr3	LZTFL1	3	3	3
chr22	LZTR1	10	10	10
chr8	LZTS1	3	3	3
chr10	LZTS2	2	2	2
chr12	M6PR	3	3	3
chr19	M6PRBP1	4	4	4
chr1	MACF1	43	43	43
chr11	MACROD1	5	5	5
chr20	MACROD2	426	426	426
chr7	MAD1L1	53	53	53
chr4	MAD2L1	2	2	2
chr6	MAD2L1BP	6	6	6
chr19	MADCAM1	3	3	3
chr11	MADD	4	4	4
chr4	MAEA	3	3	3
chr1	MAEL	6	6	6
chr16	MAF	4	4	4
chr22	MAFF	5	5	5
chr19	MAG	3	3	3
chr23	MAGEA1	2	2	2
chr23	MAGEA4	2	2	2
chr23	MAGEA11	3	3	3
chr23	MAGEC1	2	2	2
chr23	MAGEC3	5	5	5
chr23	MAGED1	2	2	2
chr3	MAGI1	126	126	126
chr7	MAGI2	345	345	345
chr1	MAGI3	26	26	26
chr6	MAK	17	17	17
chr9	MAK10	14	14	14
chr8	MAK16	4	4	4
chr8	MAL2	5	5	5
chr18	MALT1	7	7	7
chr9	MAMDC2	39	39	39
chr5	MAML1	4	4	4
chr11	MAML2	69	69	69
chr4	MAML3	49	49	49
chr23	MAMLD1	4	4	4
chr6	MAN1A1	16	16	16
chr1	MAN1A2	29	29	29
chr9	MAN1B1	2	2	2
chr1	MAN1C1	9	9	9
chr5	MAN2A1	15	15	15
chr15	MAN2A2	5	5	5
chr19	MAN2B1	3	3	3
chr4	MAN2B2	12	12	12
chr15	MAN2C1	2	2	2
chr4	MANBA	5	5	5
chr20	MANBAL	2	2	2
chr6	MANEA	3	3	3
chr1	MANEAL	2	2	2
chr23	MAOA	6	6	6
chr23	MAOB	8	8	8
chr5	MAP1B	19	19	19
chr2	MAP1D	6	6	6
chr16	MAP1LC3B	5	5	5
chr12	MAP1LC3B2	5	5	5
chr19	MAP1S	4	4	4
chr2	MAP2	43	43	43
chr15	MAP2K1	4	4	4
chr4	MAP2K1IP1	3	3	3
chr19	MAP2K2	3	3	3
chr17	MAP2K3	2	2	2
chr17	MAP2K4	14	14	14
chr15	MAP2K5	14	14	14
chr17	MAP2K6	26	26	26
chr19	MAP2K7	3	3	3
chr5	MAP3K1	5	5	5
chr2	MAP3K2	7	7	7
chr17	MAP3K3	3	3	3
chr6	MAP3K4	18	18	18
chr6	MAP3K5	23	23	23
chr6	MAP3K7	9	9	9
chr22	MAP3K7IP1	9	9	9
chr6	MAP3K7IP2	14	14	14
chr23	MAP3K7IP3	4	4	4
chr10	MAP3K8	4	4	4
chr14	MAP3K9	13	13	13
chr19	MAP3K10	4	4	4
chr3	MAP3K13	33	33	33
chr17	MAP3K14	3	3	3
chr23	MAP3K15	7	7	7
chr3	MAP4	16	16	16
chr19	MAP4K1	2	2	2
chr2	MAP4K3	15	15	15
chr2	MAP4K4	23	23	23
chr14	MAP4K5	12	12	12
chr11	MAP6	15	15	15
chr3	MAP6D1	2	2	2
chr6	MAP7	23	23	23
chr23	MAP7D2	4	4	4
chr23	MAP7D3	3	3	3
chr4	MAP9	4	4	4
chr1	MAPBPIP	3	3	3
chr14	MAPK1IP1L	4	4	4
chr16	MAPK3	2	2	2
chr18	MAPK4	39	39	39
chr15	MAPK6	6	6	6
chr11	MAPK8IP1	3	3	3
chr16	MAPK8IP3	7	7	7
chr5	MAPK9	12	12	12
chr4	MAPK10	52	52	52
chr22	MAPK11	2	2	2
chr22	MAPK12	4	4	4
chr6	MAPK13	2	2	2
chr6	MAPK14	7	7	7
chr9	MAPKAP1	10	10	10
chr1	MAPKAPK2	13	13	13
chr12	MAPKAPK5	2	2	2
chr15	MAPKBP1	4	4	4
chr20	MAPRE1	2	2	2
chr18	MAPRE2	4	4	4
chr2	MAPRE3	7	7	7
chr17	MAPT	6	6	6
chr4	MARCH1	10	10	10
chr19	MARCH2	8	8	8
chr5	MARCH3	10	10	10
chr2	MARCH4	23	23	23
chr10	MARCH5	4	4	4
chr5	MARCH6	3	3	3
chr2	MARCH7	15	15	15
chr10	MARCH8	17	17	17
chr12	MARCH9	2	2	2
chr17	MARCH10	11	11	11
chr5	MARCH11	13	13	13
chr6	MARCKS	2	2	2
chr2	MARCO	4	4	4
chr1	MARK1	7	7	7
chr14	MARK3	8	8	8
chr19	MARK4	6	6	6
chr12	MARS	2	2	2
chr5	MARVELD2	3	3	3
chr3	MASP1	11	11	11
chr1	MASP2	7	7	7
chr19	MAST1	2	2	2
chr1	MAST2	14	14	14
chr19	MAST3	9	9	9
chr5	MAST4	100	100	100
chr10	MASTL	7	7	7
chr10	MAT1A	5	5	5
chr2	MAT2A	2	2	2
chr19	MATK	9	9	9
chr1	MATN1	3	3	3
chr8	MATN2	43	43	43
chr2	MATN3	6	6	6
chr20	MATN4	3	3	3
chr5	MATR3	3	3	3
chr14	MAX	16	16	16
chr22	MB	5	5	5
chr18	MBD1	5	5	5
chr18	MBD2	16	16	16
chr19	MBD3	3	3	3
chr19	MBD3L2	2	2	2
chr2	MBD5	6	6	6
chr14	MBIP	4	4	4
chr3	MBNL1	27	27	27
chr13	MBNL2	11	11	11
chr23	MBNL3	2	2	2
chr6	MBOAT1	13	13	13
chr2	MBOAT2	24	24	24
chr18	MBP	32	32	32
chr17	MBTD1	14	14	14
chr16	MBTPS1	29	29	29
chr23	MBTPS2	6	6	6
chr18	MC2R	17	17	17
chr20	MC3R	2	2	2
chr11	MCAM	3	3	3
chr9	MCART1	3	3	3
chr23	MCART6	2	2	2
chr5	MCC	96	96	96
chr3	MCCC1	13	13	13
chr5	MCCC2	14	14	14
chr2	MCEE	9	9	9
chr23	MCF2	10	10	10
chr13	MCF2L	22	22	22
chr3	MCF2L2	31	31	31
chr2	MCFD2	4	4	4
chr6	MCHR2	14	14	14
chr6	MCM3	8	8	8
chr21	MCM3AP	11	11	11
chr8	MCM4	5	5	5
chr22	MCM5	7	7	7
chr2	MCM6	2	2	2
chr7	MCM7	3	3	3
chr20	MCM8	12	12	12
chr6	MCM9	3	3	3
chr10	MCM10	19	19	19
chr19	MCOLN1	3	3	3
chr1	MCOLN2	20	20	20
chr1	MCOLN3	14	14	14
chr8	MCPH1	99	99	99
chr12	MCRS1	3	3	3
chr5	MCTP1	91	91	91
chr15	MCTP2	76	76	76
chr6	MDC1	12	12	12
chr6	MDFI	3	3	3
chr7	MDFIC	7	7	7
chr6	MDGA1	9	9	9
chr14	MDGA2	57	57	57
chr2	MDH1	2	2	2
chr2	MDH1B	2	2	2
chr12	MDM1	12	12	12
chr12	MDM2	8	8	8
chr1	MDM4	6	6	6
chr6	MDN1	14	14	14
chr3	MDS1	64	64	64
chr6	ME1	25	25	25
chr18	ME2	8	8	8
chr11	ME3	34	34	34
chr6	MEA1	2	2	2
chr23	MECP2	4	4	4
chr1	MECR	4	4	4
chr17	MED1	6	6	6
chr13	MED4	2	2	2
chr5	MED7	2	2	2
chr17	MED9	6	6	6
chr23	MED12	3	3	3
chr3	MED12L	45	45	45
chr17	MED13	22	22	22
chr12	MED13L	61	61	61
chr23	MED14	11	11	11
chr22	MED15	9	9	9
chr19	MED16	6	6	6
chr11	MED17	3	3	3
chr6	MED20	4	4	4
chr6	MED23	6	6	6
chr17	MED24	2	2	2
chr19	MED25	4	4	4
chr19	MED26	2	2	2
chr9	MED27	42	42	42
chr8	MED30	4	4	4
chr17	MED31	2	2	2
chr15	MEF2A	17	17	17
chr19	MEF2B	6	6	6
chr5	MEF2C	19	19	19
chr1	MEF2D	17	17	17
chr16	MEFV	4	4	4
chr1	MEGF6	22	22	22
chr9	MEGF9	19	19	19
chr5	MEGF10	24	24	24
chr15	MEGF11	13	13	13
chr22	MEI1	5	5	5
chr2	MEIS1	17	17	17
chr15	MEIS2	57	57	57
chr19	MEIS3	4	4	4
chr9	MELK	7	7	7
chr2	MEMO1	8	8	8
chr11	MEN1	2	2	2
chr17	MEOX1	5	5	5
chr7	MEOX2	16	16	16
chr6	MEP1A	11	11	11
chr18	MEP1B	10	10	10
chr2	MERTK	23	23	23
chr15	MESDC1	2	2	2
chr15	MESP2	3	3	3
chr7	MEST	3	3	3
chr7	MET	16	16	16
chr4	METAP1	5	5	5
chr12	METAP2	3	3	3
chr17	METRNL	5	5	5
chr11	METT5D1	6	6	6
chr17	METT10D	9	9	9
chr14	METT11D1	4	4	4
chr17	METTL2A	3	3	3
chr7	METTL2B	5	5	5
chr14	METTL3	3	3	3
chr18	METTL4	5	5	5
chr2	METTL8	4	4	4
chr16	METTL9	2	2	2
chr10	METTL10	2	2	2
chr1	MEX3A	4	4	4
chr18	MEX3C	3	3	3
chr19	MEX3D	2	2	2
chr5	MFAP3	3	3	3
chr4	MFAP3L	8	8	8
chr12	MFAP5	10	10	10
chr2	MFF	10	10	10
chr15	MFGE8	4	4	4
chr8	MFHAS1	19	19	19
chr3	MFN1	6	6	6
chr1	MFN2	7	7	7
chr22	MFNG	2	2	2
chr11	MFRP	2	2	2
chr1	MFSD2	5	5	5
chr1	MFSD4	5	5	5
chr2	MFSD9	3	3	3
chr17	MFSD11	8	8	8
chr15	MGA	13	13	13
chr7	MGAM	6	6	6
chr5	MGAT1	3	3	3
chr22	MGAT3	5	5	5
chr2	MGAT4A	9	9	9
chr12	MGAT4C	80	80	80
chr2	MGAT5	48	48	48
chr17	MGAT5B	14	14	14
chr19	MGC3207	3	3	3
chr17	MGC4172	5	5	5
chr7	MGC12966	2	2	2
chr2	MGC13057	6	6	6
chr4	MGC16169	23	23	23
chr12	MGC24039	20	20	20
chr17	MGC33894	3	3	3
chr16	MGC34761	2	2	2
chr23	MGC39900	2	2	2
chr5	MGC42105	4	4	4
chr16	MGC45438	4	4	4
chr4	MGC48628	83	83	83
chr7	MGC57359	3	3	3
chr22	MGC70863	13	13	13
chr17	MGC87631	4	4	4
chr3	MGLL	7	7	7
chr10	MGMT	32	32	32
chr16	MGRN1	4	4	4
chr12	MGST1	5	5	5
chr4	MGST2	10	10	10
chr19	MIA	2	2	2
chr14	MIA2	4	4	4
chr1	MIA3	4	4	4
chr6	MICA	15	15	15
chr11	MICAL2	52	52	52
chr11	MICALCL	24	24	24
chr22	MICALL1	11	11	11
chr7	MICALL2	4	4	4
chr6	MICB	8	8	8
chr23	MID1	14	14	14
chr23	MID1IP1	2	2	2
chr23	MID2	3	3	3
chr1	MIER1	8	8	8
chr19	MIER2	3	3	3
chr5	MIER3	5	5	5
chr3	MINA	6	6	6
chr17	MINK1	12	12	12
chr10	MINPP1	6	6	6
chr13	MIPEP	31	31	31
chr14	MIPOL1	43	43	43
chr4	MIST	39	39	39
chr3	MITF	10	10	10
chr11	MIZF	2	2	2
chr10	MKI67	10	10	10
chr2	MKI67IP	2	2	2
chr20	MKKS	4	4	4
chr22	MKL1	32	32	32
chr16	MKL2	21	21	21
chr7	MKLN1	24	24	24
chr1	MKNK1	5	5	5
chr19	MKNK2	4	4	4
chr7	MKRN1	4	4	4
chr3	MKRN2	3	3	3
chr17	MKS1	7	7	7
chr10	MKX	6	6	6
chr9	MLANA	5	5	5
chr22	MLC1	11	11	11
chr3	MLF1	6	6	6
chr4	MLF1IP	12	12	12
chr3	MLH1	2	2	2
chr14	MLH3	7	7	7
chr16	MLKL	2	2	2
chr11	MLL	13	13	13
chr12	MLL2	8	8	8
chr7	MLL3	75	75	75
chr19	MLL4	3	3	3
chr7	MLL5	8	8	8
chr19	MLLT1	4	4	4
chr9	MLLT3	34	34	34
chr6	MLLT4	3	3	3
chr10	MLLT10	5	5	5
chr6	MLN	8	8	8
chr13	MLNR	2	2	2
chr2	MLPH	10	10	10
chr17	MLX	2	2	2
chr12	MLXIP	31	31	31
chr16	MLYCD	8	8	8
chr8	MLZE	8	8	8
chr4	MMAA	6	6	6
chr12	MMAB	2	2	2
chr1	MMACHC	4	4	4
chr17	MMD	2	2	2
chr7	MMD2	7	7	7
chr3	MME	19	19	19
chr1	MMEL1	7	7	7
chr16	MMP2	3	3	3
chr11	MMP7	2	2	2
chr11	MMP8	3	3	3
chr20	MMP9	4	4	4
chr11	MMP10	4	4	4
chr22	MMP11	7	7	7
chr11	MMP12	2	2	2
chr14	MMP14	4	4	4
chr16	MMP15	4	4	4
chr8	MMP16	32	32	32
chr12	MMP17	12	12	12
chr11	MMP20	5	5	5
chr10	MMP21	2	2	2
chr20	MMP24	3	3	3
chr11	MMP26	2	2	2
chr11	MMP27	4	4	4
chr10	MMRN2	3	3	3
chr10	MMS19	4	4	4
chr22	MN1	13	13	13
chr14	MNAT1	15	15	15
chr4	MND1	10	10	10
chr1	MNDA	5	5	5
chr15	MNS1	14	14	14
chr17	MNT	3	3	3
chr14	MOAP1	2	2	2
chr4	MOBKL1A	10	10	10
chr19	MOBKL2A	3	3	3
chr9	MOBKL2B	52	52	52
chr2	MOBKL3	7	7	7
chr3	MOBP	9	9	9
chr18	MOCOS	8	8	8
chr6	MOCS1	2	2	2
chr5	MOCS2	2	2	2
chr20	MOCS3	2	2	2
chr6	MOG	11	11	11
chr2	MOGAT1	4	4	4
chr11	MOGAT2	3	3	3
chr7	MOGAT3	3	3	3
chr16	MON1B	2	2	2
chr12	MON2	6	6	6
chr3	MORC1	11	11	11
chr22	MORC2	6	6	6
chr21	MORC3	9	9	9
chr15	MORF4L1	2	2	2
chr19	MORG1	2	2	2
chr1	MORN1	20	20	20
chr12	MORN3	2	2	2
chr10	MORN4	2	2	2
chr9	MORN5	3	3	3
chr1	MOSC1	5	5	5
chr1	MOSC2	8	8	8
chr23	MOSPD1	3	3	3
chr1	MOV10	5	5	5
chr22	MOV10L1	22	22	22
chr6	MOXD1	8	8	8
chr9	MPDZ	16	16	16
chr10	MPHOSPH1	5	5	5
chr16	MPHOSPH6	7	7	7
chr12	MPHOSPH9	9	9	9
chr2	MPHOSPH10	3	3	3
chr15	MPI	3	3	3
chr1	MPL	3	3	3
chr1	MPN2	4	4	4
chr19	MPND	4	4	4
chr17	MPO	4	4	4
chr23	MPP1	2	2	2
chr17	MPP2	5	5	5
chr17	MPP3	3	3	3
chr2	MPP4	5	5	5
chr7	MPP6	6	6	6
chr10	MPP7	32	32	32
chr18	MPPE1	9	9	9
chr22	MPPED1	9	9	9
chr11	MPPED2	35	35	35
chr17	MPRIP	22	22	22
chr22	MPST	4	4	4
chr1	MPZL1	13	13	13
chr11	MPZL2	3	3	3
chr11	MPZL3	3	3	3
chr1	MR1	3	3	3
chr21	MRAP	2	2	2
chr6	MRAP2	4	4	4
chr3	MRAS	18	18	18
chr10	MRC1	8	8	8
chr10	MRC1L1	8	8	8
chr18	MRCL3	2	2	2
chr11	MRE11A	12	12	12
chr2	MREG	10	10	10
chr4	MRFAP1	2	2	2
chr4	MRFAP1L1	2	2	2
chr11	MRGPRE	2	2	2
chr11	MRGPRF	2	2	2
chr11	MRGPRX2	2	2	2
chr11	MRGPRX3	3	3	3
chr18	MRLC2	6	6	6
chr17	MRM1	3	3	3
chr18	MRO	3	3	3
chr4	MRPL1	9	9	9
chr3	MRPL3	7	7	7
chr19	MRPL4	2	2	2
chr1	MRPL9	3	3	3
chr17	MRPL12	3	3	3
chr8	MRPL13	5	5	5
chr6	MRPL14	4	4	4
chr8	MRPL15	5	5	5
chr11	MRPL17	2	2	2
chr6	MRPL18	3	3	3
chr2	MRPL19	3	3	3
chr11	MRPL21	2	2	2
chr5	MRPL22	4	4	4
chr11	MRPL23	2	2	2
chr16	MRPL28	2	2	2
chr2	MRPL30	2	2	2
chr7	MRPL32	2	2	2
chr2	MRPL35	2	2	2
chr1	MRPL37	4	4	4
chr17	MRPL38	2	2	2
chr21	MRPL39	3	3	3
chr22	MRPL40	3	3	3
chr12	MRPL42	7	7	7
chr2	MRPL44	2	2	2
chr17	MRPL45	3	3	3
chr15	MRPL46	3	3	3
chr3	MRPL47	3	3	3
chr11	MRPL48	8	8	8
chr9	MRPL50	2	2	2
chr21	MRPS6	20	20	20
chr17	MRPS7	3	3	3
chr2	MRPS9	4	4	4
chr6	MRPS10	2	2	2
chr15	MRPS11	2	2	2
chr1	MRPS14	3	3	3
chr6	MRPS18A	4	4	4
chr6	MRPS18B	3	3	3
chr4	MRPS18C	3	3	3
chr17	MRPS23	3	3	3
chr7	MRPS24	2	2	2
chr3	MRPS25	2	2	2
chr5	MRPS27	6	6	6
chr8	MRPS28	8	8	8
chr5	MRPS30	2	2	2
chr13	MRPS31	8	8	8
chr7	MRPS33	2	2	2
chr12	MRPS35	10	10	10
chr5	MRPS36	2	2	2
chr9	MRRF	11	11	11
chr6	MRS2	6	6	6
chr1	MRTO4	2	2	2
chr11	MRVI1	21	21	21
chr11	MS4A1	2	2	2
chr11	MS4A4A	10	10	10
chr11	MS4A5	3	3	3
chr11	MS4A6A	2	2	2
chr11	MS4A6E	2	2	2
chr11	MS4A8B	19	19	19
chr11	MS4A10	3	3	3
chr11	MS4A12	2	2	2
chr11	MS4A13	9	9	9
chr11	MS4A14	2	2	2
chr11	MS4A15	3	3	3
chr8	MSC	2	2	2
chr2	MSH2	13	13	13
chr5	MSH3	28	28	28
chr1	MSH4	9	9	9
chr6	MSH5	10	10	10
chr2	MSH6	7	7	7
chr12	MSI1	8	8	8
chr17	MSI2	96	96	96
chr3	MSL2L1	3	3	3
chr23	MSL3L1	2	2	2
chr23	MSN	2	2	2
chr8	MSR1	13	13	13
chr8	MSRA	84	84	84
chr10	MSRB2	2	2	2
chr12	MSRB3	9	9	9
chr3	MST1R	2	2	2
chr23	MST4	5	5	5
chr5	MST150	4	4	4
chr16	MT1A	2	2	2
chr16	MT1B	2	2	2
chr16	MT1F	2	2	2
chr16	MT1X	2	2	2
chr16	MT4	2	2	2
chr14	MTA1	8	8	8
chr11	MTA2	2	2	2
chr2	MTA3	16	16	16
chr9	MTAP	15	15	15
chr8	MTBP	7	7	7
chr11	MTCH2	2	2	2
chr23	MTCP1	4	4	4
chr8	MTDH	8	8	8
chr7	MTERF	2	2	2
chr8	MTERFD1	3	3	3
chr2	MTERFD2	6	6	6
chr12	MTERFD3	8	8	8
chr1	MTF1	6	6	6
chr1	MTF2	3	3	3
chr15	MTFMT	13	13	13
chr8	MTFR1	3	3	3
chr10	MTG1	6	6	6
chr14	MTHFD1	11	11	11
chr6	MTHFD1L	72	72	72
chr2	MTHFD2	2	2	2
chr4	MTHFD2L	20	20	20
chr1	MTHFR	5	5	5
chr15	MTHFS	10	10	10
chr16	MTHFSD	6	6	6
chr2	MTIF2	12	12	12
chr13	MTIF3	2	2	2
chr11	MTL5	2	2	2
chr23	MTM1	12	12	12
chr23	MTMR1	27	27	27
chr11	MTMR2	28	28	28
chr22	MTMR3	13	13	13
chr17	MTMR4	4	4	4
chr13	MTMR6	13	13	13
chr8	MTMR7	35	35	35
chr8	MTMR9	5	5	5
chr15	MTMR10	2	2	2
chr5	MTMR12	6	6	6
chr3	MTMR14	3	3	3
chr15	MTMR15	2	2	2
chr4	MTNR1A	4	4	4
chr11	MTNR1B	2	2	2
chr6	MTO1	6	6	6
chr7	MTPN	4	4	4
chr1	MTR	24	24	24
chr13	MTRF1	21	21	21
chr6	MTRF1L	7	7	7
chr5	MTRR	6	6	6
chr8	MTSS1	53	53	53
chr4	MTTP	12	12	12
chr8	MTUS1	33	33	33
chr2	MTX2	10	10	10
chr5	MTX3	3	3	3
chr1	MUC1	2	2	2
chr11	MUC2	6	6	6
chr3	MUC4	5	5	5
chr11	MUC5AC	4	4	4
chr11	MUC5B	3	3	3
chr11	MUC6	5	5	5
chr4	MUC7	2	2	2
chr3	MUC13	5	5	5
chr19	MUC16	15	15	15
chr7	MUC17	6	6	6
chr3	MUC20	3	3	3
chr6	MUC21	4	4	4
chr1	MUL1	2	2	2
chr19	MUM1	2	2	2
chr23	MUM1L1	5	5	5
chr9	MUSK	33	33	33
chr3	MUSTN1	2	2	2
chr6	MUT	5	5	5
chr6	MUTED	12	12	12
chr12	MVK	3	3	3
chr21	MX1	7	7	7
chr21	MX2	13	13	13
chr2	MXD1	4	4	4
chr10	MXI1	5	5	5
chr23	MXRA5	5	5	5
chr17	MXRA7	9	9	9
chr19	MYADM	3	3	3
chr6	MYB	6	6	6
chr17	MYBBP1A	5	5	5
chr8	MYBL1	2	2	2
chr20	MYBL2	13	13	13
chr12	MYBPC1	5	5	5
chr19	MYBPC2	4	4	4
chr11	MYBPC3	2	2	2
chr8	MYC	2	2	2
chr1	MYCBP	2	2	2
chr13	MYCBP2	56	56	56
chr17	MYCBPAP	5	5	5
chr2	MYCN	3	3	3
chr6	MYCT1	8	8	8
chr15	MYEF2	6	6	6
chr2	MYEOV2	2	2	2
chr12	MYF5	2	2	2
chr17	MYH1	2	2	2
chr14	MYH6	14	14	14
chr14	MYH7	10	10	10
chr20	MYH7B	2	2	2
chr17	MYH8	7	7	7
chr22	MYH9	16	16	16
chr17	MYH10	8	8	8
chr16	MYH11	18	18	18
chr17	MYH13	30	30	30
chr19	MYH14	21	21	21
chr3	MYH15	20	20	20
chr2	MYL1	3	3	3
chr12	MYL2	2	2	2
chr3	MYL3	2	2	2
chr17	MYL4	4	4	4
chr7	MYL7	2	2	2
chr20	MYL9	2	2	2
chr7	MYLC2PL	2	2	2
chr6	MYLIP	2	2	2
chr3	MYLK	57	57	57
chr6	MYLK4	26	26	26
chr3	MYNN	4	4	4
chr12	MYO1A	7	7	7
chr2	MYO1B	28	28	28
chr17	MYO1C	4	4	4
chr17	MYO1D	15	15	15
chr15	MYO1E	22	22	22
chr19	MYO1F	7	7	7
chr12	MYO1H	7	7	7
chr10	MYO3A	37	37	37
chr2	MYO3B	88	88	88
chr15	MYO5A	37	37	37
chr18	MYO5B	68	68	68
chr15	MYO5C	24	24	24
chr6	MYO6	20	20	20
chr11	MYO7A	7	7	7
chr2	MYO7B	6	6	6
chr15	MYO9A	51	51	51
chr19	MYO9B	26	26	26
chr5	MYO10	76	76	76
chr17	MYO15A	4	4	4
chr13	MYO16	114	114	114
chr22	MYO18B	28	28	28
chr17	MYO19	8	8	8
chr1	MYOC	4	4	4
chr17	MYOCD	23	23	23
chr1	MYOG	2	2	2
chr18	MYOM1	28	28	28
chr8	MYOM2	54	54	54
chr5	MYOT	2	2	2
chr4	MYOZ2	3	3	3
chr5	MYOZ3	3	3	3
chr10	MYPN	4	4	4
chr3	MYRIP	59	59	59
chr1	MYSM1	11	11	11
chr17	MYST2	5	5	5
chr8	MYST3	13	13	13
chr10	MYST4	11	11	11
chr20	MYT1	6	6	6
chr2	MYT1L	70	70	70
chr16	N-PAC	9	9	9
chr16	N4BP1	2	2	2
chr4	N4BP2	9	9	9
chr13	N4BP2L1	2	2	2
chr13	N4BP2L2	23	23	23
chr5	N4BP3	2	2	2
chr21	N6AMT1	4	4	4
chr13	N6AMT2	4	4	4
chr4	NAAA	3	3	3
chr11	NAALADL1	2	2	2
chr3	NAALADL2	139	139	139
chr2	NAB1	15	15	15
chr12	NACA	2	2	2
chr1	NADK	2	2	2
chr11	NADSYN1	4	4	4
chr16	NAE1	5	5	5
chr4	NAF1	9	9	9
chr2	NAG	35	35	35
chr2	NAGK	4	4	4
chr17	NAGLU	3	3	3
chr16	NAGPA	7	7	7
chr5	NAIP	2	2	2
chr13	NALCN	46	46	46
chr7	NAMPT	12	12	12
chr12	NANOG	3	3	3
chr19	NANOS3	2	2	2
chr12	NAP1L1	7	7	7
chr11	NAP1L4	7	7	7
chr2	NAP5	140	140	140
chr19	NAPA	8	8	8
chr20	NAPB	11	11	11
chr7	NAPEPLD	4	4	4
chr18	NAPG	4	4	4
chr19	NAPSA	3	3	3
chr17	NARF	4	4	4
chr16	NARFL	2	2	2
chr4	NARG1	15	15	15
chr13	NARG1L	14	14	14
chr15	NARG2	12	12	12
chr18	NARS	5	5	5
chr11	NARS2	22	22	22
chr8	NAT1	6	6	6
chr20	NAT5	2	2	2
chr17	NAT9	3	3	3
chr11	NAT10	4	4	4
chr14	NAT12	6	6	6
chr3	NAT13	2	2	2
chr1	NAV1	26	26	26
chr11	NAV2	224	224	224
chr12	NAV3	32	32	32
chr13	NBEA	96	96	96
chr2	NBEAL1	5	5	5
chr3	NBEAL2	2	2	2
chr1	NBL1	3	3	3
chr8	NBN	9	9	9
chr1	NBPF1	4	4	4
chr1	NBPF3	11	11	11
chr1	NBPF10	36	36	36
chr1	NBPF14	2	2	2
chr1	NBPF15	8	8	8
chr1	NBPF16	9	9	9
chr17	NBR1	15	15	15
chr8	NCALD	92	92	92
chr11	NCAM1	35	35	35
chr21	NCAM2	89	89	89
chr19	NCAN	5	5	5
chr12	NCAPD2	3	3	3
chr11	NCAPD3	17	17	17
chr4	NCAPG	5	5	5
chr7	NCAPG2	9	9	9
chr2	NCAPH	4	4	4
chr22	NCAPH2	7	7	7
chr9	NCBP1	3	3	3
chr7	NCF1	2	2	2
chr1	NCF2	5	5	5
chr22	NCF4	2	2	2
chr3	NCK1	9	9	9
chr2	NCK2	33	33	33
chr2	NCKAP1	21	21	21
chr12	NCKAP1L	16	16	16
chr3	NCKIPSD	2	2	2
chr2	NCL	2	2	2
chr19	NCLN	3	3	3
chr2	NCOA1	19	19	19
chr8	NCOA2	21	21	21
chr20	NCOA3	25	25	25
chr20	NCOA5	6	6	6
chr20	NCOA6	12	12	12
chr6	NCOA7	24	24	24
chr17	NCOR1	8	8	8
chr12	NCOR2	15	15	15
chr6	NCR2	2	2	2
chr6	NCR3	2	2	2
chr1	NCSTN	2	2	2
chr18	NDC80	7	7	7
chr16	NDE1	9	9	9
chr17	NDEL1	6	6	6
chr5	NDFIP1	5	5	5
chr13	NDFIP2	30	30	30
chr23	NDP	4	4	4
chr8	NDRG1	24	24	24
chr14	NDRG2	2	2	2
chr20	NDRG3	3	3	3
chr16	NDRG4	18	18	18
chr5	NDST1	5	5	5
chr10	NDST2	2	2	2
chr4	NDST3	20	20	20
chr4	NDST4	21	21	21
chr5	NDUFA2	3	3	3
chr7	NDUFA4	3	3	3
chr12	NDUFA4L2	3	3	3
chr7	NDUFA5	4	4	4
chr19	NDUFA7	2	2	2
chr9	NDUFA8	3	3	3
chr12	NDUFA9	3	3	3
chr2	NDUFA10	2	2	2
chr19	NDUFA11	2	2	2
chr12	NDUFA12	8	8	8
chr16	NDUFAB1	3	3	3
chr15	NDUFAF1	4	4	4
chr5	NDUFAF2	9	9	9
chr14	NDUFB1	2	2	2
chr7	NDUFB2	4	4	4
chr3	NDUFB4	3	3	3
chr3	NDUFB5	2	2	2
chr9	NDUFB6	3	3	3
chr8	NDUFB9	5	5	5
chr4	NDUFC1	2	2	2
chr11	NDUFC2	2	2	2
chr2	NDUFS1	2	2	2
chr1	NDUFS2	3	3	3
chr5	NDUFS4	26	26	26
chr5	NDUFS6	4	4	4
chr18	NDUFV2	11	11	11
chr21	NDUFV3	6	6	6
chr2	NEB	36	36	36
chr10	NEBL	57	57	57
chr8	NECAB1	7	7	7
chr16	NECAB2	21	21	21
chr1	NECAP2	4	4	4
chr12	NEDD1	7	7	7
chr15	NEDD4	30	30	30
chr18	NEDD4L	35	35	35
chr14	NEDD8	3	3	3
chr6	NEDD9	13	13	13
chr22	NEFH	3	3	3
